participant_id	age	sex	hand	native_language	original_id
sub-YAC	n/a	n/a	n/a	English	YAC
sub-YAG	n/a	n/a	n/a	English	YAG
sub-YAK	n/a	n/a	n/a	English	YAK
sub-YDG	n/a	n/a	n/a	English	YDG
sub-YDR	n/a	n/a	n/a	English	YDR
sub-YFR	n/a	n/a	n/a	English	YFR
sub-YFS	n/a	n/a	n/a	English	YFS
sub-YHS	n/a	n/a	n/a	English	YHS
sub-YIS	n/a	n/a	n/a	English	YIS
sub-YLS	n/a	n/a	n/a	English	YLS
sub-YMD	n/a	n/a	n/a	English	YMD
sub-YMS	n/a	n/a	n/a	English	YMS
sub-YRH	n/a	n/a	n/a	English	YRH
sub-YRK	n/a	n/a	n/a	English	YRK
sub-YRP	n/a	n/a	n/a	English	YRP
sub-YSD	n/a	n/a	n/a	English	YSD
sub-YSL	n/a	n/a	n/a	English	YSL
sub-YTL	n/a	n/a	n/a	English	YTL
