onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.012	0.36	fixation	n/a	193.1	167.6	2424.0	n/a	n/a	n/a	n/a
0.374	0.024	saccade	n/a	195.3	164.8	n/a	241.4	150.6	1.81	106.0
0.4	0.154	fixation	n/a	244.5	148.0	2664.0	n/a	n/a	n/a	n/a
0.556	0.036	saccade	n/a	246.7	143.3	n/a	370.8	144.7	4.66	223.0
0.594	0.238	fixation	n/a	370.2	147.0	2805.0	n/a	n/a	n/a	n/a
0.834	0.136	saccade	n/a	363.9	159.8	n/a	390.3	221.8	2.59	3270.0
0.866	0.062	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.972	0.31	fixation	n/a	391.2	222.2	2820.0	n/a	n/a	n/a	n/a
1.284	0.056	saccade	n/a	394.2	223.1	n/a	682.2	236.7	10.7	317.0
1.342	0.126	fixation	n/a	681.8	236.2	2695.0	n/a	n/a	n/a	n/a
1.47	0.032	saccade	n/a	684.4	234.1	n/a	773.2	246.1	3.22	177.0
1.504	0.592	fixation	n/a	777.8	244.7	2691.0	n/a	n/a	n/a	n/a
2.06	0.0	trigger_112	112	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.098	0.024	saccade	n/a	779.7	241.8	n/a	738.6	228.6	1.54	126.0
2.124	0.11	fixation	n/a	741.3	229.5	2765.0	n/a	n/a	n/a	n/a
2.236	0.062	saccade	n/a	740.3	229.3	n/a	338.4	203.2	14.84	439.0
2.3	0.214	fixation	n/a	339.0	207.5	2838.0	n/a	n/a	n/a	n/a
2.516	0.026	saccade	n/a	339.6	209.6	n/a	402.6	221.0	2.44	137.0
2.544	0.376	fixation	n/a	402.4	222.1	2774.0	n/a	n/a	n/a	n/a
2.922	0.02	saccade	n/a	402.6	219.1	n/a	433.5	220.5	1.17	80.0
2.944	0.386	fixation	n/a	430.2	221.5	2938.0	n/a	n/a	n/a	n/a
3.332	0.02	saccade	n/a	428.1	223.1	n/a	405.4	239.4	1.07	77.0
3.354	0.308	fixation	n/a	410.2	241.7	2960.0	n/a	n/a	n/a	n/a
3.664	0.016	saccade	n/a	414.0	243.2	n/a	434.0	239.9	0.77	59.0
3.682	0.546	fixation	n/a	426.2	242.7	2963.0	n/a	n/a	n/a	n/a
4.076	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.23	0.042	saccade	n/a	421.7	244.0	n/a	266.8	182.8	6.32	284.0
4.274	0.078	fixation	n/a	266.5	184.1	2926.0	n/a	n/a	n/a	n/a
4.354	0.03	saccade	n/a	266.3	183.8	n/a	191.1	171.3	2.88	180.0
4.386	0.566	fixation	n/a	188.4	171.3	2904.0	n/a	n/a	n/a	n/a
4.954	0.034	saccade	n/a	179.7	170.4	n/a	273.9	163.4	3.56	192.0
4.99	0.132	fixation	n/a	273.4	163.7	2870.0	n/a	n/a	n/a	n/a
5.124	0.03	saccade	n/a	274.9	164.5	n/a	351.6	165.9	2.91	185.0
5.156	0.134	fixation	n/a	348.5	165.1	2884.0	n/a	n/a	n/a	n/a
5.292	0.018	saccade	n/a	345.9	165.7	n/a	323.8	160.1	0.87	65.0
5.312	0.12	fixation	n/a	324.6	160.4	2890.0	n/a	n/a	n/a	n/a
5.434	0.034	saccade	n/a	324.5	161.5	n/a	441.5	160.4	4.42	241.0
5.47	0.172	fixation	n/a	440.8	162.0	2875.0	n/a	n/a	n/a	n/a
5.644	0.02	saccade	n/a	443.3	161.4	n/a	479.7	159.7	1.38	94.0
5.666	0.158	fixation	n/a	479.1	161.1	2867.0	n/a	n/a	n/a	n/a
5.826	0.032	saccade	n/a	480.7	160.2	n/a	563.3	164.0	3.1	191.0
5.86	0.088	fixation	n/a	562.4	163.4	2798.0	n/a	n/a	n/a	n/a
5.95	0.124	saccade	n/a	560.3	166.1	n/a	147.1	214.6	15.53	3270.0
5.988	0.032	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.076	0.336	fixation	n/a	153.2	215.3	2700.0	n/a	n/a	n/a	n/a
6.414	0.032	saccade	n/a	156.6	218.2	n/a	244.1	219.7	3.28	197.0
6.448	0.214	fixation	n/a	242.8	217.4	2598.0	n/a	n/a	n/a	n/a
6.664	0.036	saccade	n/a	245.4	219.4	n/a	364.7	213.4	4.52	242.0
6.702	0.254	fixation	n/a	364.3	212.7	2623.0	n/a	n/a	n/a	n/a
6.958	0.026	saccade	n/a	365.5	214.2	n/a	420.9	214.1	2.1	135.0
6.986	0.256	fixation	n/a	420.5	212.8	2676.0	n/a	n/a	n/a	n/a
7.244	0.022	saccade	n/a	422.8	213.7	n/a	461.8	213.2	1.47	96.0
7.268	0.128	fixation	n/a	460.8	212.7	2654.0	n/a	n/a	n/a	n/a
7.398	0.028	saccade	n/a	461.6	211.4	n/a	529.0	211.9	2.53	157.0
7.428	0.132	fixation	n/a	528.5	214.1	2657.0	n/a	n/a	n/a	n/a
7.562	0.052	saccade	n/a	527.7	215.2	n/a	182.4	272.9	13.12	444.0
7.616	0.092	fixation	n/a	184.6	274.5	2707.0	n/a	n/a	n/a	n/a
7.71	0.022	saccade	n/a	184.3	278.6	n/a	142.7	284.0	1.56	110.0
7.734	0.316	fixation	n/a	141.0	282.6	2631.0	n/a	n/a	n/a	n/a
8.052	0.03	saccade	n/a	130.9	277.1	n/a	225.5	276.0	3.5	205.0
8.084	0.174	fixation	n/a	224.1	276.2	2646.0	n/a	n/a	n/a	n/a
8.26	0.032	saccade	n/a	225.3	275.3	n/a	326.9	278.0	3.79	222.0
8.294	0.234	fixation	n/a	327.1	277.0	2688.0	n/a	n/a	n/a	n/a
8.53	0.028	saccade	n/a	332.8	278.0	n/a	409.3	276.2	2.87	169.0
8.56	0.2	fixation	n/a	410.0	275.3	2627.0	n/a	n/a	n/a	n/a
8.762	0.03	saccade	n/a	412.7	274.4	n/a	494.6	273.3	3.06	161.0
8.794	0.22	fixation	n/a	493.8	274.0	2587.0	n/a	n/a	n/a	n/a
9.016	0.022	saccade	n/a	496.5	272.9	n/a	536.5	272.5	1.48	101.0
9.04	0.118	fixation	n/a	536.2	273.7	2556.0	n/a	n/a	n/a	n/a
9.16	0.056	saccade	n/a	536.1	275.9	n/a	177.9	337.5	13.44	434.0
9.218	0.118	fixation	n/a	173.8	336.8	2515.0	n/a	n/a	n/a	n/a
9.338	0.02	saccade	n/a	170.5	339.9	n/a	133.3	340.7	1.37	98.0
9.36	0.186	fixation	n/a	133.6	338.5	2485.0	n/a	n/a	n/a	n/a
9.548	0.038	saccade	n/a	135.3	338.9	n/a	279.7	340.1	5.34	283.0
9.588	0.252	fixation	n/a	279.4	339.8	2492.0	n/a	n/a	n/a	n/a
9.842	0.028	saccade	n/a	283.4	341.4	n/a	358.8	336.8	2.83	163.0
9.872	0.208	fixation	n/a	360.8	336.2	2503.0	n/a	n/a	n/a	n/a
10.082	0.032	saccade	n/a	363.3	335.8	n/a	468.0	329.0	3.94	209.0
10.116	0.164	fixation	n/a	466.9	327.5	2468.0	n/a	n/a	n/a	n/a
10.282	0.032	saccade	n/a	467.5	329.5	n/a	556.7	327.2	3.32	183.0
10.316	0.15	fixation	n/a	555.0	328.5	2446.0	n/a	n/a	n/a	n/a
10.468	0.03	saccade	n/a	557.4	330.5	n/a	648.2	326.6	3.34	187.0
10.5	0.162	fixation	n/a	645.9	328.8	2415.0	n/a	n/a	n/a	n/a
10.664	0.154	saccade	n/a	641.7	332.9	n/a	134.9	389.6	18.65	1949.0
10.686	0.108	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.82	0.31	fixation	n/a	129.0	392.0	2532.0	n/a	n/a	n/a	n/a
11.132	0.03	saccade	n/a	120.4	393.9	n/a	210.5	391.0	3.33	196.0
11.164	0.242	fixation	n/a	210.2	393.0	2449.0	n/a	n/a	n/a	n/a
11.408	0.03	saccade	n/a	217.0	396.4	n/a	301.5	397.2	3.16	195.0
11.44	0.554	fixation	n/a	301.9	397.9	2485.0	n/a	n/a	n/a	n/a
11.996	0.03	saccade	n/a	304.5	397.9	n/a	381.6	401.4	2.9	158.0
12.028	0.498	fixation	n/a	377.9	397.3	2523.0	n/a	n/a	n/a	n/a
12.528	0.046	saccade	n/a	378.4	396.2	n/a	308.4	173.6	8.87	346.0
12.576	0.284	fixation	n/a	313.2	174.2	2563.0	n/a	n/a	n/a	n/a
12.62	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.678	0.0	trigger_12	12	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.862	0.032	saccade	n/a	313.7	171.7	n/a	215.2	163.3	3.7	213.0
12.896	0.112	fixation	n/a	215.5	160.9	2694.0	n/a	n/a	n/a	n/a
13.01	0.028	saccade	n/a	214.5	160.4	n/a	159.9	162.7	2.02	132.0
13.04	0.124	fixation	n/a	162.4	162.9	2684.0	n/a	n/a	n/a	n/a
13.166	0.018	saccade	n/a	160.0	162.3	n/a	136.5	159.5	0.87	63.0
13.186	0.4	fixation	n/a	132.4	157.7	2791.0	n/a	n/a	n/a	n/a
13.588	0.028	saccade	n/a	130.2	157.3	n/a	196.7	155.4	2.46	143.0
13.618	0.278	fixation	n/a	199.2	157.3	2886.0	n/a	n/a	n/a	n/a
13.898	0.024	saccade	n/a	203.5	157.8	n/a	263.2	157.8	2.23	133.0
13.924	0.146	fixation	n/a	263.3	158.0	2898.0	n/a	n/a	n/a	n/a
14.072	0.034	saccade	n/a	263.3	157.9	n/a	380.6	162.9	4.41	233.0
14.108	0.29	fixation	n/a	384.9	161.6	2865.0	n/a	n/a	n/a	n/a
14.4	0.03	saccade	n/a	389.6	160.7	n/a	466.5	156.1	2.89	158.0
14.432	0.308	fixation	n/a	465.2	156.8	2783.0	n/a	n/a	n/a	n/a
14.742	0.022	saccade	n/a	466.0	154.9	n/a	507.3	158.1	1.55	100.0
14.766	0.222	fixation	n/a	503.7	159.9	2754.0	n/a	n/a	n/a	n/a
14.99	0.03	saccade	n/a	502.5	160.7	n/a	574.6	159.8	2.68	174.0
15.022	0.11	fixation	n/a	572.1	160.1	2744.0	n/a	n/a	n/a	n/a
15.134	0.13	saccade	n/a	565.5	160.9	n/a	105.5	207.9	17.07	3270.0
15.17	0.038	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.266	0.832	fixation	n/a	120.8	219.2	2613.0	n/a	n/a	n/a	n/a
16.1	0.026	saccade	n/a	122.0	221.7	n/a	120.2	170.9	1.92	129.0
16.128	0.764	fixation	n/a	122.3	167.8	2682.0	n/a	n/a	n/a	n/a
