sentence_id	word_id	word	nfixations	meanpupilsize	ffd	sfd	gd	gpt	trt	ffd_pupilsize	gd_pupilsize	gpt_pupilsize	trt_pupilsize	ffd_t1_mean	ffd_t2_mean	ffd_a1_mean	ffd_a2_mean	ffd_b1_mean	ffd_b2_mean	ffd_g1_mean	ffd_g2_mean	sfd_t1_mean	sfd_t2_mean	sfd_a1_mean	sfd_a2_mean	sfd_b1_mean	sfd_b2_mean	sfd_g1_mean	sfd_g2_mean	gd_t1_mean	gd_t2_mean	gd_a1_mean	gd_a2_mean	gd_b1_mean	gd_b2_mean	gd_g1_mean	gd_g2_mean	gpt_t1_mean	gpt_t2_mean	gpt_a1_mean	gpt_a2_mean	gpt_b1_mean	gpt_b2_mean	gpt_g1_mean	gpt_g2_mean	trt_t1_mean	trt_t2_mean	trt_a1_mean	trt_a2_mean	trt_b1_mean	trt_b2_mean	trt_g1_mean	trt_g2_mean
1	1	He	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	2	was	2.0	4856.5	65.0	n/a	139.0	139.0	139.0	4883.0	4856.5	4856.5	4856.5	1.405201	1.283361	0.771853	0.918008	0.66612	0.876035	0.863267	3.701793	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.301168	1.113497	0.780356	0.828123	0.861212	1.080765	0.882086	3.554766	1.301168	1.113497	0.780356	0.828123	0.861212	1.080765	0.882086	3.554766	1.301168	1.113497	0.780356	0.828123	0.861212	1.080765	0.882086	3.554766
1	3	also	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	4	the	1.0	4793.0	75.0	75.0	75.0	75.0	75.0	4793.0	4793.0	4793.0	4793.0	1.226132	1.080493	0.60442	1.021134	1.138272	1.75511	1.025256	3.778147	1.226132	1.080493	0.60442	1.021134	1.138272	1.75511	1.025256	3.778147	1.226132	1.080493	0.60442	1.021134	1.138272	1.75511	1.025256	3.778147	1.226132	1.080493	0.60442	1.021134	1.138272	1.75511	1.025256	3.778147	1.226132	1.080493	0.60442	1.021134	1.138272	1.75511	1.025256	3.778147
1	5	unsuccessful	2.0	4845.0	112.0	n/a	112.0	112.0	209.0	4823.0	4823.0	4823.0	4845.0	1.466718	1.640386	1.138126	0.905066	0.854092	1.24291	0.821738	3.766865	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.466718	1.640386	1.138126	0.905066	0.854092	1.24291	0.821738	3.766865	1.466718	1.640386	1.138126	0.905066	0.854092	1.24291	0.821738	3.766865	1.676304	1.739514	0.949102	0.775696	0.799221	1.136864	0.893243	3.63787
1	6	Republican	2.0	4859.5	124.0	n/a	124.0	306.0	209.0	4865.0	4865.0	4862.0	4859.5	1.608333	0.874884	1.053305	0.543569	0.683911	1.157104	1.047015	3.249784	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.608333	0.874884	1.053305	0.543569	0.683911	1.157104	1.047015	3.249784	1.607822	1.385816	0.861724	0.625674	0.820971	1.159929	1.020869	3.439358	1.468789	1.159402	0.912547	0.615348	0.859282	1.224484	1.04893	3.404599
1	7	nominee	2.0	4839.0	106.0	n/a	251.0	251.0	251.0	4885.0	4839.0	4839.0	4839.0	1.005105	1.085491	0.57096	0.860585	0.719981	1.427602	0.987396	3.479146	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.173324	1.055218	0.79603	1.062099	1.050103	1.21746	0.895516	3.535774	1.173324	1.055218	0.79603	1.062099	1.050103	1.21746	0.895516	3.535774	1.173324	1.055218	0.79603	1.062099	1.050103	1.21746	0.895516	3.535774
1	8	for	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	9	President	3.0	4893.3333	51.0	n/a	170.0	170.0	298.0	4885.0	4907.0	4907.0	4893.3333	1.640532	0.704115	0.588882	0.676689	1.502176	0.976895	0.747981	3.579423	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.439742	0.901667	0.592801	0.854981	1.481383	1.027028	0.826201	3.680543	1.439742	0.901667	0.592801	0.854981	1.481383	1.027028	0.826201	3.680543	1.66813	0.977623	0.638295	0.807182	1.331828	1.128415	0.845892	3.602173
1	10	in	1.0	4817.0	69.0	69.0	69.0	197.0	69.0	4817.0	4817.0	4841.5	4817.0	0.817968	1.768571	1.61277	1.027575	1.778647	1.769476	1.016694	3.389538	0.817968	1.768571	1.61277	1.027575	1.778647	1.769476	1.016694	3.389538	0.817968	1.768571	1.61277	1.027575	1.778647	1.769476	1.016694	3.389538	1.471437	1.449053	1.171027	0.86958	1.405682	1.550332	0.950984	3.417486	0.817968	1.768571	1.61277	1.027575	1.778647	1.769476	1.016694	3.389538
