onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
0.063	0.022	fixation	n/a	237.3	185.4	3077.0	n/a	n/a	n/a	n/a
0.087	0.032	saccade	n/a	236.1	186.0	n/a	135.2	184.8	3.79	191.0
0.121	0.374	fixation	n/a	140.8	187.9	2976.0	n/a	n/a	n/a	n/a
0.497	0.038	saccade	n/a	144.2	186.7	n/a	239.8	215.8	3.77	118.0
0.537	0.128	fixation	n/a	246.8	216.1	2999.0	n/a	n/a	n/a	n/a
0.667	0.202	saccade	n/a	252.3	217.1	n/a	208.2	204.8	1.74	828.0
0.693	0.116	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.871	0.144	fixation	n/a	207.0	192.9	3041.0	n/a	n/a	n/a	n/a
1.017	0.396	saccade	n/a	206.9	192.1	n/a	294.7	203.4	3.37	739.0
1.041	0.322	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.415	0.142	fixation	n/a	296.2	201.1	3059.0	n/a	n/a	n/a	n/a
1.559	0.168	saccade	n/a	300.6	201.9	n/a	277.9	202.5	0.87	615.0
1.579	0.106	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.729	0.152	fixation	n/a	278.4	206.3	3182.0	n/a	n/a	n/a	n/a
1.883	0.172	saccade	n/a	280.5	202.8	n/a	292.0	214.1	0.62	515.0
1.905	0.106	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.057	0.25	fixation	n/a	290.4	218.4	3113.0	n/a	n/a	n/a	n/a
2.108	0.0	trigger_113	113	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.309	0.036	saccade	n/a	291.2	220.8	n/a	355.9	293.6	3.79	136.0
2.347	0.118	fixation	n/a	360.2	298.1	3170.0	n/a	n/a	n/a	n/a
2.467	0.198	saccade	n/a	362.9	301.1	n/a	330.4	212.5	3.69	453.0
2.489	0.13	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.667	0.208	fixation	n/a	329.1	210.5	3021.0	n/a	n/a	n/a	n/a
2.877	0.026	saccade	n/a	332.4	211.1	n/a	378.6	231.2	1.95	97.0
2.905	0.164	fixation	n/a	384.4	235.0	3183.0	n/a	n/a	n/a	n/a
3.071	0.2	saccade	n/a	385.0	231.7	n/a	327.5	209.5	2.38	509.0
3.095	0.12	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.273	0.176	fixation	n/a	327.4	210.6	3192.0	n/a	n/a	n/a	n/a
3.451	0.028	saccade	n/a	325.7	213.7	n/a	249.6	239.4	3.08	155.0
3.481	0.21	fixation	n/a	240.4	250.1	3273.0	n/a	n/a	n/a	n/a
3.693	0.078	saccade	n/a	243.5	249.2	n/a	569.8	230.5	12.5	236.0
3.773	0.186	fixation	n/a	569.6	229.0	2988.0	n/a	n/a	n/a	n/a
3.961	0.036	saccade	n/a	571.4	230.5	n/a	689.5	232.7	4.47	169.0
3.999	0.226	fixation	n/a	694.3	233.4	2926.0	n/a	n/a	n/a	n/a
4.124	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.227	0.056	saccade	n/a	693.4	232.1	n/a	340.2	216.1	13.42	464.0
4.285	0.082	fixation	n/a	347.2	216.8	3019.0	n/a	n/a	n/a	n/a
4.369	0.038	saccade	n/a	348.5	214.4	n/a	205.1	193.5	5.54	234.0
4.409	0.144	fixation	n/a	204.1	194.8	3065.0	n/a	n/a	n/a	n/a
4.555	0.018	saccade	n/a	201.5	196.3	n/a	179.2	190.5	0.88	56.0
4.575	0.13	fixation	n/a	175.1	188.9	3053.0	n/a	n/a	n/a	n/a
4.707	0.02	saccade	n/a	171.7	187.2	n/a	141.7	185.4	1.13	72.0
4.729	0.452	fixation	n/a	134.0	186.0	3023.0	n/a	n/a	n/a	n/a
5.183	0.058	saccade	n/a	133.0	184.2	n/a	262.5	581.4	15.72	524.0
5.243	0.218	fixation	n/a	256.4	573.4	3185.0	n/a	n/a	n/a	n/a
5.463	0.03	saccade	n/a	258.2	573.5	n/a	354.4	561.9	3.62	171.0
5.495	0.16	fixation	n/a	368.4	559.2	3101.0	n/a	n/a	n/a	n/a
5.657	0.022	saccade	n/a	373.8	556.7	n/a	414.1	550.8	1.54	91.0
5.681	0.104	fixation	n/a	420.7	549.5	2941.0	n/a	n/a	n/a	n/a
5.787	0.024	saccade	n/a	425.8	548.7	n/a	479.0	543.2	2.02	113.0
5.813	0.128	fixation	n/a	485.3	540.3	2829.0	n/a	n/a	n/a	n/a
5.943	0.064	saccade	n/a	485.9	538.3	n/a	165.8	201.0	17.65	505.0
6.009	0.128	fixation	n/a	174.8	200.5	2874.0	n/a	n/a	n/a	n/a
6.139	0.016	saccade	n/a	170.1	199.0	n/a	152.2	190.3	0.75	53.0
6.157	0.138	fixation	n/a	149.4	186.1	2841.0	n/a	n/a	n/a	n/a
6.297	0.014	saccade	n/a	146.6	186.7	n/a	129.1	185.1	0.66	53.0
6.313	0.154	fixation	n/a	129.0	185.9	2833.0	n/a	n/a	n/a	n/a
